MODEL,SCENARIO,REGION,VARIABLE,2025,2030,2035,2040,2045,2050
REMIND,LIMITS450,EUROPE,Primary Energy|Coal,-0.229230769,-0.384947563,-0.627180372,-0.774175672,-0.876826722,-0.939943233
REMIND,LIMITS500,EUROPE,Primary Energy|Coal,-0.236068376,-0.393172939,-0.633122484,-0.777639235,-0.878823636,-0.939427171
REMIND,LIMITSEnergyIndependence,EUROPE,Primary Energy|Coal,0.141196581,0.356570019,0.380870232,0.226378498,0.093582645,0.038769191
REMIND,LIMITSOilIndependence,EUROPE,Primary Energy|Coal,0.676581197,1.909932141,2.928694652,2.760321419,2.001724607,1.404592956
REMIND,LIMITSPledges,EUROPE,Primary Energy|Coal,-0.365470085,-0.533621221,-0.747172705,-0.834441674,-0.909231188,-0.948071217
WITCH,LIMITS450,EUROPE,Primary Energy|Coal,-0.564623315,-0.614017476,-0.656313081,-0.680344569,-0.699237043,-0.715609203
WITCH,LIMITS500,EUROPE,Primary Energy|Coal,-0.425748455,-0.478813852,-0.485287098,-0.522523688,-0.589783633,-0.615099397
WITCH,LIMITSEnergyIndependence,EUROPE,Primary Energy|Coal,0,-0.184336746,-0.262256388,-0.278465346,-0.286686268,-0.291573828
WITCH,LIMITSOilIndependence,EUROPE,Primary Energy|Coal,0,-0.000810416,-0.000895306,-0.000375211,-0.000545119,-0.001858229
WITCH,LIMITSPledges,EUROPE,Primary Energy|Coal,-0.53224234,-0.520679356,-0.515258234,-0.514279207,-0.509157741,-0.541107025
REMIND,LIMITS450,EUROPE,Primary Energy|Gas,-0.463574024,-0.53473701,-0.594457367,-0.66815193,-0.720016073,-0.774362451
REMIND,LIMITS500,EUROPE,Primary Energy|Gas,-0.435617161,-0.439549617,-0.468272429,-0.506587346,-0.553396681,-0.607419181
REMIND,LIMITSEnergyIndependence,EUROPE,Primary Energy|Gas,-0.250380964,-0.296848382,-0.281433681,-0.242081938,-0.201720796,-0.177999579
REMIND,LIMITSOilIndependence,EUROPE,Primary Energy|Gas,0.164781386,0.133198467,0.072134264,0.027987187,0.002316456,-0.005633342
REMIND,LIMITSPledges,EUROPE,Primary Energy|Gas,-0.524030008,-0.575755963,-0.606688177,-0.616537007,-0.601758616,-0.573338632
WITCH,LIMITS450,EUROPE,Primary Energy|Gas,-0.44938488,-0.503533073,-0.546976344,-0.592938812,-0.64009659,-0.686803319
WITCH,LIMITS500,EUROPE,Primary Energy|Gas,-0.241712695,-0.332780789,-0.387789493,-0.433313579,-0.480740415,-0.523114633
WITCH,LIMITSEnergyIndependence,EUROPE,Primary Energy|Gas,0,-0.260162481,-0.277101828,-0.287141733,-0.292034177,-0.293905948
WITCH,LIMITSOilIndependence,EUROPE,Primary Energy|Gas,0,-0.002083582,-0.000484805,0.000394579,0.001240471,0.00295023
WITCH,LIMITSPledges,EUROPE,Primary Energy|Gas,-0.396328694,-0.4158169,-0.419599466,-0.420496615,-0.440324657,-0.448732469
REMIND,LIMITS450,EUROPE,Primary Energy|Oil,-0.063033884,-0.061129308,-0.122594832,-0.200482528,-0.276423465,-0.355601881
REMIND,LIMITS500,EUROPE,Primary Energy|Oil,-0.012065774,-0.002492167,-0.042550852,-0.089384388,-0.137781032,-0.20395598
REMIND,LIMITSEnergyIndependence,EUROPE,Primary Energy|Oil,-0.006655752,-0.017587582,-0.012754261,-0.036267414,-0.061159445,-0.094003006
REMIND,LIMITSOilIndependence,EUROPE,Primary Energy|Oil,-0.30082574,-0.336834235,-0.338427708,-0.374737334,-0.39210957,-0.425510254
REMIND,LIMITSPledges,EUROPE,Primary Energy|Oil,-0.043778474,-0.076616349,-0.115667949,-0.140400031,-0.142044965,-0.147040287
WITCH,LIMITS450,EUROPE,Primary Energy|Oil,-0.22306021,-0.347230271,-0.493010065,-0.619907717,-0.711592257,-0.797276712
WITCH,LIMITS500,EUROPE,Primary Energy|Oil,-0.101739506,-0.177576897,-0.265017929,-0.392660153,-0.521358583,-0.600682022
WITCH,LIMITSEnergyIndependence,EUROPE,Primary Energy|Oil,0,-0.050274183,-0.047827981,-0.048345296,-0.045658447,-0.033161914
WITCH,LIMITSOilIndependence,EUROPE,Primary Energy|Oil,0,-0.033426432,-0.007270699,0.001215856,-0.026814244,-0.027722144
WITCH,LIMITSPledges,EUROPE,Primary Energy|Oil,-0.203975695,-0.239446027,-0.2741183,-0.371263667,-0.467036739,-0.535287366
REMIND,LIMITS450,EUROPE,Secondary Energy|Electricity|Biomass,0.033333333,0.219730942,0.79,1.955307263,3.418604651,4.120418848
REMIND,LIMITS500,EUROPE,Secondary Energy|Electricity|Biomass,0.0125,0.103139013,0.395,1.100558659,2.197674419,3.02617801
REMIND,LIMITSEnergyIndependence,EUROPE,Secondary Energy|Electricity|Biomass,0,0.00896861,0.045,0.122905028,0.255813953,0.408376963
REMIND,LIMITSOilIndependence,EUROPE,Secondary Energy|Electricity|Biomass,0,0.00896861,0.035,0.055865922,0.046511628,0.020942408
REMIND,LIMITSPledges,EUROPE,Secondary Energy|Electricity|Biomass,0.104166667,0.399103139,1.13,2.402234637,3.75,4.193717277
WITCH,LIMITS450,EUROPE,Secondary Energy|Electricity|Biomass,0.744803831,4.053388584,8.426609125,15.77868474,28.05543176,50.26907556
WITCH,LIMITS500,EUROPE,Secondary Energy|Electricity|Biomass,0.178165931,0.178221557,0.198889629,6.044417462,23.26209718,40.5691499
WITCH,LIMITSEnergyIndependence,EUROPE,Secondary Energy|Electricity|Biomass,0,0.000108022,0,0.856153972,2.186070652,4.372711649
