MODEL,SCENARIO,REGION,VARIABLE,2025,2030,2035,2040,2045,2050
REMIND,LIMITS450,REST_WORLD,Primary Energy|Coal,-0.410141767,-0.662357649,-0.853500432,-0.944824318,-0.982173663,-0.988886114
REMIND,LIMITS500,REST_WORLD,Primary Energy|Coal,-0.429661941,-0.604391095,-0.709420916,-0.73948954,-0.741648805,-0.758449883
REMIND,LIMITSEnergyIndependence,REST_WORLD,Primary Energy|Coal,0.327371865,0.565712527,0.75315471,0.81517839,0.773171624,0.683483183
REMIND,LIMITSOilIndependence,REST_WORLD,Primary Energy|Coal,-0.131406761,-0.286036729,-0.49991357,-0.692370185,-0.824559569,-0.89985015
REMIND,LIMITSPledges,REST_WORLD,Primary Energy|Coal,-0.522464558,-0.633836052,-0.655401901,-0.600297881,-0.498039626,-0.409382284
WITCH,LIMITS450,REST_WORLD,Primary Energy|Coal,-0.768596148,-0.773155479,-0.776783322,-0.779484872,-0.7828622,-0.78771917
WITCH,LIMITS500,REST_WORLD,Primary Energy|Coal,-0.514576782,-0.594256049,-0.64815138,-0.686025829,-0.71556823,-0.73925175
WITCH,LIMITSEnergyIndependence,REST_WORLD,Primary Energy|Coal,0,-0.060286146,-0.031549194,0.012258307,0.064678785,0.104185927
WITCH,LIMITSOilIndependence,REST_WORLD,Primary Energy|Coal,0,-0.008424312,-0.005477308,-0.001265869,0.002901814,0.004343558
WITCH,LIMITSPledges,REST_WORLD,Primary Energy|Coal,-0.562267121,-0.561350953,-0.554866587,-0.544801719,-0.539817734,-0.570263989
REMIND,LIMITS450,REST_WORLD,Primary Energy|Gas,-0.198146618,-0.36123348,-0.464611815,-0.565205065,-0.674814028,-0.742880286
REMIND,LIMITS500,REST_WORLD,Primary Energy|Gas,-0.11940739,-0.185989041,-0.287998789,-0.352532603,-0.416135317,-0.495949864
REMIND,LIMITSEnergyIndependence,REST_WORLD,Primary Energy|Gas,-0.024023138,-0.022778554,-0.040609393,-0.102863353,-0.163345731,-0.186391542
REMIND,LIMITSOilIndependence,REST_WORLD,Primary Energy|Gas,-0.004131744,-0.011335554,-0.021389295,-0.031468531,-0.032013815,-0.026645634
REMIND,LIMITSPledges,REST_WORLD,Primary Energy|Gas,-0.127080628,-0.140593102,-0.178277758,-0.242156492,-0.313894793,-0.386638813
WITCH,LIMITS450,REST_WORLD,Primary Energy|Gas,-0.281495141,-0.352477569,-0.460505664,-0.524700575,-0.581578736,-0.623508009
WITCH,LIMITS500,REST_WORLD,Primary Energy|Gas,-0.217164637,-0.223461708,-0.256300789,-0.294012944,-0.353118076,-0.439010132
WITCH,LIMITSEnergyIndependence,REST_WORLD,Primary Energy|Gas,0,-0.021318714,-0.01345201,-0.002697401,0.008823855,0.016468847
WITCH,LIMITSOilIndependence,REST_WORLD,Primary Energy|Gas,0,-0.002250838,0.000829171,0.002938163,0.005881263,0.008749781
WITCH,LIMITSPledges,REST_WORLD,Primary Energy|Gas,-0.202770497,-0.236438563,-0.23642329,-0.224183289,-0.228926043,-0.233076585
REMIND,LIMITS450,REST_WORLD,Primary Energy|Oil,0.003322024,0.011691456,0.028339192,0.045477178,0.053124086,0.064431138
REMIND,LIMITS500,REST_WORLD,Primary Energy|Oil,0.062765055,0.061916292,0.090289982,0.116846473,0.133151379,0.145628743
REMIND,LIMITSEnergyIndependence,REST_WORLD,Primary Energy|Oil,-0.025940062,-0.089380837,-0.151581722,-0.174854772,-0.202748806,-0.241556886
REMIND,LIMITSOilIndependence,REST_WORLD,Primary Energy|Oil,0.073579304,0.133033552,0.278485647,0.534273859,0.851252559,1.296287425
REMIND,LIMITSPledges,REST_WORLD,Primary Energy|Oil,0.059372349,0.049187132,0.083772701,0.129875519,0.144945901,0.156407186
WITCH,LIMITS450,REST_WORLD,Primary Energy|Oil,-0.181682398,-0.410726177,-0.612644218,-0.804630502,-0.978531197,-0.99740956
WITCH,LIMITS500,REST_WORLD,Primary Energy|Oil,-0.052615575,-0.233234939,-0.419892585,-0.594813853,-0.762484497,-0.921770727
WITCH,LIMITSEnergyIndependence,REST_WORLD,Primary Energy|Oil,0,0.054030991,0.066300174,0.07244264,0.078160796,0.08805539
WITCH,LIMITSOilIndependence,REST_WORLD,Primary Energy|Oil,0,0.003375993,0.065553243,0.085589138,0.133081063,0.080033055
WITCH,LIMITSPledges,REST_WORLD,Primary Energy|Oil,-0.124419799,-0.121261024,-0.264453046,-0.377700102,-0.497320939,-0.609300864
REMIND,LIMITS450,REST_WORLD,Secondary Energy|Electricity|Biomass,0.117647059,0.421052632,1,2,3.78125,7.430379747
REMIND,LIMITS500,REST_WORLD,Secondary Energy|Electricity|Biomass,0,-0.052631579,-0.071428571,0.111111111,0.671875,1.721518987
REMIND,LIMITSEnergyIndependence,REST_WORLD,Secondary Energy|Electricity|Biomass,0,0.052631579,0.071428571,0.022222222,-0.03125,-0.063291139
REMIND,LIMITSOilIndependence,REST_WORLD,Secondary Energy|Electricity|Biomass,0,-0.157894737,-0.464285714,-0.622222222,-0.640625,-0.556962025
REMIND,LIMITSPledges,REST_WORLD,Secondary Energy|Electricity|Biomass,0,-0.105263158,-0.357142857,-0.444444444,-0.34375,-0.037974684
WITCH,LIMITS450,REST_WORLD,Secondary Energy|Electricity|Biomass,0,0,0,0,0,0
WITCH,LIMITS500,REST_WORLD,Secondary Energy|Electricity|Biomass,0,0,0,0,0,0
WITCH,LIMITSEnergyIndependence,REST_WORLD,Secondary Energy|Electricity|Biomass,0,0,0,0,0,0
WITCH,LIMITSOilIndependence,REST_WORLD,Secondary Energy|Electricity|Biomass,0,0,0,0,0,0
WITCH,LIMITSPledges,REST_WORLD,Secondary Energy|Electricity|Biomass,0.003907952,0.005854319,0.008939648,0.013829382,0.021580117,203.5484294
REMIND,LIMITS450,REST_WORLD,Secondary Energy|Electricity|Coal,-0.270672547,-0.46970684,-0.65776699,-0.834763948,-0.982539683,-0.97733711
REMIND,LIMITS500,REST_WORLD,Secondary Energy|Electricity|Coal,-0.27508269,-0.471661238,-0.656148867,-0.830472103,-0.974603175,-0.974504249
REMIND,LIMITSEnergyIndependence,REST_WORLD,Secondary Energy|Electricity|Coal,0.437706725,0.932247557,1.732200647,2.974248927,5.146031746,10.04249292
REMIND,LIMITSOilIndependence,REST_WORLD,Secondary Energy|Electricity|Coal,-0.056780595,-0.080130293,-0.102750809,-0.134120172,-0.188888889,-0.305949008
REMIND,LIMITSPledges,REST_WORLD,Secondary Energy|Electricity|Coal,-0.44707828,-0.637785016,-0.816343042,-0.969957082,-0.968253968,-0.966005666
WITCH,LIMITS450,REST_WORLD,Secondary Energy|Electricity|Coal,-0.999992641,-0.999993432,-0.999994016,-1,-1,-1
WITCH,LIMITS500,REST_WORLD,Secondary Energy|Electricity|Coal,-0.690200784,-0.771946867,-0.842406917,-0.887785157,-0.919946357,-0.943165598
WITCH,LIMITSEnergyIndependence,REST_WORLD,Secondary Energy|Electricity|Coal,0,-0.092138871,-0.046421772,0.017522319,0.090270201,0.142294044
WITCH,LIMITSOilIndependence,REST_WORLD,Secondary Energy|Electricity|Coal,0,-0.012875373,-0.00805936,-0.001809464,0.004049973,0.005932302
WITCH,LIMITSPledges,REST_WORLD,Secondary Energy|Electricity|Coal,-0.738623697,-0.730349994,-0.727191666,-0.718892868,-0.71454544,-0.749398803
REMIND,LIMITS450,REST_WORLD,Secondary Energy|Electricity|Gas,-0.274269759,-0.488482385,-0.582910934,-0.669363123,-0.774402968,-0.825115978
REMIND,LIMITS500,REST_WORLD,Secondary Energy|Electricity|Gas,-0.128006873,-0.224593496,-0.359594497,-0.418207499,-0.485045212,-0.571906355
REMIND,LIMITSEnergyIndependence,REST_WORLD,Secondary Energy|Electricity|Gas,-0.100515464,-0.138042005,-0.175669804,-0.220467386,-0.25944818,-0.279965476
REMIND,LIMITSOilIndependence,REST_WORLD,Secondary Energy|Electricity|Gas,0.017182131,0.014566396,0.010282404,0.006933744,0.005912358,0.005070666
REMIND,LIMITSPledges,REST_WORLD,Secondary Energy|Electricity|Gas,-0.119415808,-0.162262873,-0.229398986,-0.322547509,-0.41954556,-0.503182652
WITCH,LIMITS450,REST_WORLD,Secondary Energy|Electricity|Gas,-0.192453434,-0.251491026,-0.414885024,-0.478154696,-0.536682628,-0.578095292
WITCH,LIMITS500,REST_WORLD,Secondary Energy|Electricity|Gas,-0.265550689,-0.209706821,-0.193217886,-0.201003729,-0.253287326,-0.379102357
WITCH,LIMITSEnergyIndependence,REST_WORLD,Secondary Energy|Electricity|Gas,0,-0.01931866,-0.013858666,-0.006406486,0.001209568,0.007686152
WITCH,LIMITSOilIndependence,REST_WORLD,Secondary Energy|Electricity|Gas,0,0.000870115,-0.003114454,-0.00402062,-0.006136066,-0.007836933
WITCH,LIMITSPledges,REST_WORLD,Secondary Energy|Electricity|Gas,-0.167358176,-0.243232469,-0.239508675,-0.231131323,-0.225668386,-0.213878618
REMIND,LIMITS450,REST_WORLD,Secondary Energy|Electricity|Geothermal,1.666666667,3.45,3,1.666666667,0.75,0.287356322
REMIND,LIMITS500,REST_WORLD,Secondary Energy|Electricity|Geothermal,1.388888889,3,2.821428571,1.666666667,0.75,0.287356322
REMIND,LIMITSEnergyIndependence,REST_WORLD,Secondary Energy|Electricity|Geothermal,-0.111111111,-0.35,-0.75,-0.952380952,-0.953125,-0.850574713
REMIND,LIMITSOilIndependence,REST_WORLD,Secondary Energy|Electricity|Geothermal,-0.055555556,-0.1,-0.178571429,-0.142857143,-0.109375,-0.068965517
REMIND,LIMITSPledges,REST_WORLD,Secondary Energy|Electricity|Geothermal,2.833333333,3.9,3,1.666666667,0.75,0.287356322
REMIND,LIMITS450,REST_WORLD,Secondary Energy|Electricity|Hydro,0.088846154,0.250295625,0.467176802,0.676302932,0.787449393,0.770259638
REMIND,LIMITS500,REST_WORLD,Secondary Energy|Electricity|Hydro,0.061153846,0.170279858,0.315344342,0.477198697,0.619433198,0.687254131
REMIND,LIMITSEnergyIndependence,REST_WORLD,Secondary Energy|Electricity|Hydro,0,-0.001182499,-0.008457511,-0.026058632,-0.054251012,-0.092840283
REMIND,LIMITSOilIndependence,REST_WORLD,Secondary Energy|Electricity|Hydro,0,-0.001182499,-0.00281917,-0.005700326,-0.008097166,-0.009047994
REMIND,LIMITSPledges,REST_WORLD,Secondary Energy|Electricity|Hydro,0.109615385,0.182893181,0.262988321,0.348127036,0.436437247,0.506687648
WITCH,LIMITS450,REST_WORLD,Secondary Energy|Electricity|Hydro,0,0,0,0,0,0
WITCH,LIMITS500,REST_WORLD,Secondary Energy|Electricity|Hydro,0,0,0,0,0,0
WITCH,LIMITSEnergyIndependence,REST_WORLD,Secondary Energy|Electricity|Hydro,0,0,0,0,0,0
WITCH,LIMITSOilIndependence,REST_WORLD,Secondary Energy|Electricity|Hydro,0,0,0,0,0,0
WITCH,LIMITSPledges,REST_WORLD,Secondary Energy|Electricity|Hydro,0,0,0,0,0,0
REMIND,LIMITS450,REST_WORLD,Secondary Energy|Electricity|Nuclear,0.091139241,0.25647452,0.368965517,0.409954751,0.436453202,0.479283315
REMIND,LIMITS500,REST_WORLD,Secondary Energy|Electricity|Nuclear,0.048945148,0.13700919,0.199137931,0.225339367,0.240394089,0.264277716
REMIND,LIMITSEnergyIndependence,REST_WORLD,Secondary Energy|Electricity|Nuclear,-0.058227848,-0.140350877,-0.196551724,-0.228054299,-0.251231527,-0.276595745
REMIND,LIMITSOilIndependence,REST_WORLD,Secondary Energy|Electricity|Nuclear,-0.005907173,-0.016708438,-0.027586207,-0.036199095,-0.043349754,-0.049272116
REMIND,LIMITSPledges,REST_WORLD,Secondary Energy|Electricity|Nuclear,0.082700422,0.253968254,0.453448276,0.646153846,0.827586207,1
WITCH,LIMITS450,REST_WORLD,Secondary Energy|Electricity|Nuclear,0.833173374,0.715990517,0.35270657,0.246595308,0.19084789,0.186701515
WITCH,LIMITS500,REST_WORLD,Secondary Energy|Electricity|Nuclear,0.587777617,0.669464315,0.661859242,0.621366051,0.511126956,0.268841529
WITCH,LIMITSEnergyIndependence,REST_WORLD,Secondary Energy|Electricity|Nuclear,0,0.044056896,0.012496598,-0.026854642,-0.067030946,-0.104484311
WITCH,LIMITSOilIndependence,REST_WORLD,Secondary Energy|Electricity|Nuclear,0,-0.013113434,-0.007885459,-0.001350087,0.005251946,0.007553024
WITCH,LIMITSPledges,REST_WORLD,Secondary Energy|Electricity|Nuclear,0.633263866,0.646524536,0.634759922,0.588410995,0.558127648,0.50924538
REMIND,LIMITS450,REST_WORLD,Secondary Energy|Electricity|Oil,0,0,0,0,0,0
REMIND,LIMITS500,REST_WORLD,Secondary Energy|Electricity|Oil,0,0,0,0,0,0
REMIND,LIMITSEnergyIndependence,REST_WORLD,Secondary Energy|Electricity|Oil,0,0,0,0,0,0
REMIND,LIMITSOilIndependence,REST_WORLD,Secondary Energy|Electricity|Oil,0,0,0,0,0,0
REMIND,LIMITSPledges,REST_WORLD,Secondary Energy|Electricity|Oil,0,0,0,0,0,0
WITCH,LIMITS450,REST_WORLD,Secondary Energy|Electricity|Oil,0.027564355,-0.29809224,-0.522688417,-0.68251608,-0.780420383,-0.830894333
WITCH,LIMITS500,REST_WORLD,Secondary Energy|Electricity|Oil,0.350154406,0.308202687,0.161396001,-0.015903991,-0.224563721,-0.436936537
WITCH,LIMITSEnergyIndependence,REST_WORLD,Secondary Energy|Electricity|Oil,0,0.225229818,0.25020845,0.243940171,0.232752574,0.259176118
WITCH,LIMITSOilIndependence,REST_WORLD,Secondary Energy|Electricity|Oil,0,0.028468819,0.216433696,0.276946564,0.441925427,0.711383989
WITCH,LIMITSPledges,REST_WORLD,Secondary Energy|Electricity|Oil,0.08318957,0.108483288,0.091698022,0.154138224,0.154654922,0.194473983
