MODEL,SCENARIO,REGION,VARIABLE,2025,2030,2035,2040,2045,2050
REMIND,LIMITS450,ASIA,Primary Energy|Coal,-0.342878048,-0.596450538,-0.78820974,-0.92056402,-0.994863084,-0.996727613
REMIND,LIMITS500,ASIA,Primary Energy|Coal,-0.353182376,-0.597900974,-0.783299667,-0.911635827,-0.975519529,-0.990686282
REMIND,LIMITSEnergyIndependence,ASIA,Primary Energy|Coal,-0.121647473,-0.178711439,-0.25343766,-0.344841489,-0.442557653,-0.530134731
REMIND,LIMITSOilIndependence,ASIA,Primary Energy|Coal,0.171339944,0.286392589,0.375702743,0.404548445,0.372302776,0.304499832
REMIND,LIMITSPledges,ASIA,Primary Energy|Coal,-0.126822502,-0.116212721,-0.137974884,-0.206319229,-0.302968148,-0.405756045
WITCH,LIMITS450,ASIA,Primary Energy|Coal,-0.669305947,-0.730914494,-0.776707702,-0.808580864,-0.831594708,-0.853448786
WITCH,LIMITS500,ASIA,Primary Energy|Coal,-0.451002467,-0.58999458,-0.679753679,-0.731802117,-0.771184968,-0.802287919
WITCH,LIMITSEnergyIndependence,ASIA,Primary Energy|Coal,0,-0.327267872,-0.433302088,-0.520867917,-0.571564553,-0.600681684
WITCH,LIMITSOilIndependence,ASIA,Primary Energy|Coal,0,0.003397269,0.006277987,0.007439936,0.005351876,0.003078393
WITCH,LIMITSPledges,ASIA,Primary Energy|Coal,-0.220268029,-0.23354102,-0.284080563,-0.351923557,-0.425734177,-0.507443601
REMIND,LIMITS450,ASIA,Primary Energy|Gas,-0.207449447,-0.23976665,-0.362694373,-0.482976169,-0.565192349,-0.64435351
REMIND,LIMITS500,ASIA,Primary Energy|Gas,-0.156906713,-0.055987684,-0.011567745,-0.074263748,-0.221675586,-0.340676329
REMIND,LIMITSEnergyIndependence,ASIA,Primary Energy|Gas,-0.089139365,-0.123302544,-0.119014568,-0.08279482,-0.053133025,-0.054765558
REMIND,LIMITSOilIndependence,ASIA,Primary Energy|Gas,0.132875598,0.154723708,0.148992555,0.138591607,0.127432864,0.115089514
REMIND,LIMITSPledges,ASIA,Primary Energy|Gas,-0.124759391,-0.031729055,0.028071061,0.072501341,0.104766133,0.114555271
WITCH,LIMITS450,ASIA,Primary Energy|Gas,-0.365338899,-0.418007122,-0.468475092,-0.525701707,-0.5539343,-0.586702354
WITCH,LIMITS500,ASIA,Primary Energy|Gas,-0.235440144,-0.269515897,-0.312521193,-0.354974856,-0.407661848,-0.454963109
WITCH,LIMITSEnergyIndependence,ASIA,Primary Energy|Gas,0,-0.341544313,-0.396689961,-0.441829674,-0.484653441,-0.520316403
WITCH,LIMITSOilIndependence,ASIA,Primary Energy|Gas,0,0.000282465,0.006863021,0.012628081,0.010981216,0.004173004
WITCH,LIMITSPledges,ASIA,Primary Energy|Gas,-0.060079253,-0.058074805,-0.068379315,-0.077286882,-0.084088101,-0.079376538
REMIND,LIMITS450,ASIA,Primary Energy|Oil,-0.032130235,-0.056535355,-0.067759102,-0.09404158,-0.136211544,-0.186083373
REMIND,LIMITS500,ASIA,Primary Energy|Oil,0.089918756,0.056452942,0.05196533,0.051304965,0.058982105,0.043430021
REMIND,LIMITSEnergyIndependence,ASIA,Primary Energy|Oil,-0.014856408,0.007307291,0.055982928,0.120140878,0.210948401,0.336618683
REMIND,LIMITSOilIndependence,ASIA,Primary Energy|Oil,-0.406676969,-0.493970112,-0.537607355,-0.563382133,-0.580649968,-0.595311172
REMIND,LIMITSPledges,ASIA,Primary Energy|Oil,0.110482107,0.070531839,0.063254123,0.081018214,0.144420813,0.238562515
WITCH,LIMITS450,ASIA,Primary Energy|Oil,-0.196239852,-0.323014235,-0.431126145,-0.52986722,-0.608738335,-0.678883008
WITCH,LIMITS500,ASIA,Primary Energy|Oil,-0.043822418,-0.100532199,-0.182272361,-0.268728873,-0.353438562,-0.424898267
WITCH,LIMITSEnergyIndependence,ASIA,Primary Energy|Oil,0,-0.08918545,-0.109200696,-0.131873208,-0.149829542,-0.154406731
WITCH,LIMITSOilIndependence,ASIA,Primary Energy|Oil,0,-0.265001416,-0.244058738,-0.277250982,-0.312100849,-0.334974424
WITCH,LIMITSPledges,ASIA,Primary Energy|Oil,0.025823465,0.017020728,-0.002047248,-0.030939586,-0.057583528,-0.087958163
REMIND,LIMITS450,ASIA,Secondary Energy|Electricity|Biomass,9.916666667,3.914893617,2.691119691,2.787628866,3.237623762,3.36622807
REMIND,LIMITS500,ASIA,Secondary Energy|Electricity|Biomass,8.875,2.414893617,1.158301158,1.202061856,1.684582744,2.214912281
REMIND,LIMITSEnergyIndependence,ASIA,Secondary Energy|Electricity|Biomass,0.416666667,0.223404255,0.11969112,0.088659794,0.128712871,0.214912281
REMIND,LIMITSOilIndependence,ASIA,Secondary Energy|Electricity|Biomass,2,1.14893617,0.528957529,0.251546392,0.162659123,0.11622807
REMIND,LIMITSPledges,ASIA,Secondary Energy|Electricity|Biomass,8.916666667,2.095744681,0.66023166,0.329896907,0.216407355,0.141447368
WITCH,LIMITS450,ASIA,Secondary Energy|Electricity|Biomass,0,0,0,0,0,0
WITCH,LIMITS500,ASIA,Secondary Energy|Electricity|Biomass,0,0,0,0,0,0
WITCH,LIMITSEnergyIndependence,ASIA,Secondary Energy|Electricity|Biomass,0,0,0,0,0,0
WITCH,LIMITSOilIndependence,ASIA,Secondary Energy|Electricity|Biomass,0,0,0,0,0,0
WITCH,LIMITSPledges,ASIA,Secondary Energy|Electricity|Biomass,38.82477034,68.89397132,121.5424611,154.7440437,208.4936188,280.5703952
REMIND,LIMITS450,ASIA,Secondary Energy|Electricity|Coal,-0.462818129,-0.688698458,-0.837650418,-0.937603777,-0.999218551,-0.999454483
REMIND,LIMITS500,ASIA,Secondary Energy|Electricity|Coal,-0.433393166,-0.664259832,-0.817345389,-0.920599356,-0.98518882,-0.998175929
REMIND,LIMITSEnergyIndependence,ASIA,Secondary Energy|Electricity|Coal,-0.079203795,-0.130921209,-0.189498493,-0.255046312,-0.332224766,-0.416518923
REMIND,LIMITSOilIndependence,ASIA,Secondary Energy|Electricity|Coal,-0.043752805,-0.07826179,-0.115620822,-0.148138516,-0.174135863,-0.193828844
REMIND,LIMITSPledges,ASIA,Secondary Energy|Electricity|Coal,-0.238124239,-0.22248671,-0.225984091,-0.272350811,-0.353632828,-0.447357654
WITCH,LIMITS450,ASIA,Secondary Energy|Electricity|Coal,-0.800486794,-0.857848946,-0.900856692,-0.930603791,-0.950161899,-0.968413244
