MODEL,SCENARIO,REGION,VARIABLE,2025,2030,2035,2040,2045,2050
REMIND,LIMITS450,AFRICA,Primary Energy|Biomass,0.001887257,0.01890681,0.085748792,0.301007262,0.819205858,1.657529611
REMIND,LIMITS450,AFRICA,Primary Energy|Biomass|Modern,0.039249147,0.365684575,1.521428571,4.679417122,9.520458265,10.42234043
,,,,,,,,,
REMIND,LIMITS450,AFRICA,Primary Energy|Biomass|w/ CCS,0.037,0.225,0.87,2.619,6.002,10.427
REMIND,LIMITS450,AFRICA,Primary Energy|Biomass|w/o CCS,-0.001148765,-0.00125448,-0.001912238,-0.005739049,-0.025908195,-0.10676819
REMIND,LIMITS450,AFRICA,Primary Energy|Coal,-0.313689461,-0.662819168,-0.849620407,-0.948622787,-0.986313746,-0.992508331
REMIND,LIMITS450,AFRICA,Primary Energy|Coal|Electricity,-0.364341085,-0.767346939,-0.931688805,-0.983739837,-0.996673004,-0.998286693
,,,,,,,,,
REMIND,LIMITS450,AFRICA,Primary Energy|Coal|Liquids,-0.48409894,-0.879518072,-0.970648186,-0.993804213,-0.999555121,-0.999793228
REMIND,LIMITS450,AFRICA,Primary Energy|Coal|w/ CCS,0.006,0.007,0.007,0.006,0.006,0.006
REMIND,LIMITS450,AFRICA,Primary Energy|Coal|w/o CCS,-0.314608216,-0.66343127,-0.850045551,-0.948891075,-0.986514523,-0.992658666
REMIND,LIMITS450,AFRICA,Primary Energy|Fossil,-0.200258205,-0.401785099,-0.511100602,-0.593392079,-0.672413282,-0.737930374
REMIND,LIMITS450,AFRICA,Primary Energy|Fossil|w/ CCS,0.14,0.885,2.457,3.41,3.373,3.275
REMIND,LIMITS450,AFRICA,Primary Energy|Fossil|w/o CCS,-0.207259546,-0.43228341,-0.572253472,-0.657735344,-0.722456307,-0.777176127
REMIND,LIMITS450,AFRICA,Primary Energy|Gas,-0.222809547,-0.39085217,-0.476022249,-0.56473752,-0.668295236,-0.738637177
REMIND,LIMITS450,AFRICA,Primary Energy|Gas|Electricity,-0.230166052,-0.420933394,-0.522384847,-0.630646083,-0.754040205,-0.827983212
REMIND,LIMITS450,AFRICA,Primary Energy|Gas|w/ CCS,0.134,0.878,2.45,3.403,3.366,3.27
REMIND,LIMITS450,AFRICA,Primary Energy|Gas|w/o CCS,-0.244273586,-0.484028441,-0.66017739,-0.755448485,-0.815171872,-0.855629518
REMIND,LIMITS450,AFRICA,Primary Energy|Geothermal,3,6,5.636363636,4.422222222,4.407894737,6.00990099
REMIND,LIMITS450,AFRICA,Primary Energy|Hydro,0.173780488,0.905444126,2.28009828,3.538461538,3.888888889,3.11754386
REMIND,LIMITS450,AFRICA,Primary Energy|Non-Biomass Renewables,0.334841629,1.494071146,3.37037037,4.954983923,5.470266576,5.089023336
REMIND,LIMITS450,AFRICA,Primary Energy|Nuclear,0.714285714,1.391304348,1.365079365,1.116438356,0.760655738,0.371186441
REMIND,LIMITS450,AFRICA,Primary Energy|Oil,-0.039993627,-0.048296151,-0.020557157,-0.012045366,-0.03611073,-0.086294091
REMIND,LIMITS450,AFRICA,Primary Energy|Oil|w/o CCS,-0.039993627,-0.048296151,-0.020557157,-0.012045366,-0.03611073,-0.086294091
REMIND,LIMITS450,AFRICA,Primary Energy|Solar,6.75,40.75,94.83333333,85.52941176,49.69491525,27.06382979
REMIND,LIMITS450,AFRICA,Primary Energy|Wind,0.466666667,1.517482517,2.643192488,3.21958457,3.129662522,2.855367232
REMIND,LIMITS450,AFRICA,Secondary Energy|Electricity,-0.159509202,-0.229485396,-0.159810875,-0.080365093,-0.030662871,0.016048458
REMIND,LIMITS450,AFRICA,Secondary Energy|Electricity|Biomass,1,6,23,22,12.33333333,6.3
REMIND,LIMITS450,AFRICA,Secondary Energy|Electricity|Biomass|w/ CCS,0.001,0.006,0.023,0.068,0.159,0.291
REMIND,LIMITS450,AFRICA,Secondary Energy|Electricity|Biomass|w/o CCS,0,0,0,-0.666666667,-0.916666667,-0.975
REMIND,LIMITS450,AFRICA,Secondary Energy|Electricity|Coal,-0.451612903,-0.821428571,-0.950617284,-0.988603989,-0.997772829,-0.998667259
REMIND,LIMITS450,AFRICA,Secondary Energy|Electricity|Coal|w/ CCS,0.002,0.002,0.002,0.002,0.002,0.001
REMIND,LIMITS450,AFRICA,Secondary Energy|Electricity|Coal|w/o CCS,-0.467741935,-0.835714286,-0.956790123,-0.99002849,-0.99925761,-0.999555753
REMIND,LIMITS450,AFRICA,Secondary Energy|Electricity|Gas,-0.252453167,-0.454920286,-0.5556602,-0.659491737,-0.776371768,-0.845272206
REMIND,LIMITS450,AFRICA,Secondary Energy|Electricity|Gas|w/ CCS,0.051,0.377,1.19,1.725,1.708,1.663
REMIND,LIMITS450,AFRICA,Secondary Energy|Electricity|Gas|w/o CCS,-0.275200714,-0.558548653,-0.779807873,-0.8990418,-0.962692266,-0.99898327
REMIND,LIMITS450,AFRICA,Secondary Energy|Electricity|Geothermal,2.6,5.222222222,3.409090909,1.488888889,0.473684211,0.108910891
REMIND,LIMITS450,AFRICA,Secondary Energy|Electricity|Hydro,0.173780488,0.905444126,2.28009828,3.538461538,3.888888889,3.11754386
REMIND,LIMITS450,AFRICA,Secondary Energy|Electricity|Non-Biomass Renewables,0.328054299,1.466403162,3.294753086,4.819742489,5.265892003,4.831460674
REMIND,LIMITS450,AFRICA,Secondary Energy|Electricity|Nuclear,0.714285714,1.391304348,1.365079365,1.116438356,0.760655738,0.371186441
,,,,,,,,,
,,,,,,,,,
REMIND,LIMITS450,AFRICA,Secondary Energy|Electricity|Solar,6.75,40.75,94.83333333,85.52941176,49.69491525,27.06382979
REMIND,LIMITS450,AFRICA,Secondary Energy|Electricity|Solar|CSP,0.007,0.034,0.115,0.31,0.71,1.425
REMIND,LIMITS450,AFRICA,Secondary Energy|Electricity|Solar|PV,5,32.25,91,67.29411765,38.32758621,19.93478261
REMIND,LIMITS450,AFRICA,Secondary Energy|Electricity|Wind,0.466666667,1.517482517,2.643192488,3.21958457,3.129662522,2.855367232
REMIND,LIMITS450,ASIA,Primary Energy|Biomass,0.003114347,0.047271018,0.297925487,0.825722543,1.552553287,2.18046398
REMIND,LIMITS450,ASIA,Primary Energy|Biomass|Modern,0.02452957,0.226275876,0.923117292,1.827227044,2.715253029,3.214110025
,,,,,,,,,
REMIND,LIMITS450,ASIA,Primary Energy|Biomass|w/ CCS,0.5,3.499,12.302,28.811,50.354,68.984
REMIND,LIMITS450,ASIA,Primary Energy|Biomass|w/o CCS,-0.017970624,-0.10232081,-0.222904318,-0.363831544,-0.49961283,-0.627228327
REMIND,LIMITS450,ASIA,Primary Energy|Coal,-0.342878048,-0.596450538,-0.78820974,-0.92056402,-0.994863084,-0.996727613
REMIND,LIMITS450,ASIA,Primary Energy|Coal|Electricity,-0.424269925,-0.653608539,-0.815158919,-0.928142568,-0.999142221,-0.999398
,,,,,,,,,
REMIND,LIMITS450,ASIA,Primary Energy|Coal|Liquids,-0.700987306,-0.925828021,-0.980096044,-0.99527439,-0.999691347,-0.999843982
REMIND,LIMITS450,ASIA,Primary Energy|Coal|w/ CCS,0.022,0.024,0.024,0.023,0.022,0.019
REMIND,LIMITS450,ASIA,Primary Energy|Coal|w/o CCS,-0.343045722,-0.596614738,-0.788355764,-0.920696643,-0.99495923,-0.996803529
REMIND,LIMITS450,ASIA,Primary Energy|Fossil,-0.232994141,-0.377982521,-0.515289224,-0.637224738,-0.730748852,-0.782670876
REMIND,LIMITS450,ASIA,Primary Energy|Fossil|w/ CCS,0.366,1.602,2.746,2.979,2.921,2.79
REMIND,LIMITS450,ASIA,Primary Energy|Fossil|w/o CCS,-0.234476168,-0.383690149,-0.524102031,-0.645912377,-0.738528922,-0.789519906
REMIND,LIMITS450,ASIA,Primary Energy|Gas,-0.207449447,-0.23976665,-0.362694373,-0.482976169,-0.565192349,-0.64435351
REMIND,LIMITS450,ASIA,Primary Energy|Gas|Electricity,-0.193349873,-0.182855661,-0.344094128,-0.522596759,-0.620168417,-0.697080672
