Titolo,Attivi,Passivi,LGD,Regione
1,56.41064232,51.76830536,0.6,ASIA
2,61.68075106,50.51824496,0.6,ASIA
3,58.22393584,47.08737755,0.6,ASIA
4,60.20018567,52.68480477,0.6,ASIA
5,58.91094214,50.86850226,0.6,ASIA
6,60.60704159,50.38233247,0.6,ASIA
7,58.79934688,51.45733671,0.6,ASIA
8,60.97993064,50.73936874,0.6,ASIA
9,61.47872625,47.33707611,0.6,ASIA
10,63.42377557,49.54083972,0.6,ASIA
11,59.61175293,49.58689511,0.6,ASIA
12,55.72328946,48.49524459,0.6,ASIA
13,58.32082251,54.75770743,0.6,ASIA
14,62.70918866,47.52306336,0.6,ASIA
15,57.85568942,48.63156439,0.6,ASIA
16,61.92190774,47.98614702,0.6,ASIA
17,60.2480996,46.67882599,0.6,ASIA
18,62.87339325,49.45626453,0.6,ASIA
19,56.0782,49.22481233,0.6,ASIA
20,59.60460355,54.3276986,0.6,ASIA
21,57.58430903,49.29565166,0.6,ASIA
22,65.81601606,46.98994992,0.6,ASIA
23,61.65043779,54.53526212,0.6,ASIA
24,62.75794396,53.49219999,0.6,ASIA
25,57.88363948,49.35051832,0.6,ASIA
26,59.06276884,45.73993704,0.6,ASIA
27,59.45506118,48.74240262,0.6,ASIA
28,62.19684924,49.55893214,0.6,ASIA
29,59.44425613,50.78083894,0.6,ASIA
30,61.40308292,49.26131766,0.6,ASIA
31,55.8963674,51.25418657,0.6,ASIA
32,59.2923,51.10844421,0.6,ASIA
33,58.35282695,46.46254586,0.6,ASIA
34,56.84588595,47.31876161,0.6,ASIA
35,61.0159493,47.90383542,0.6,ASIA
36,60.56396813,48.56367507,0.6,ASIA
37,60.06695976,49.09327554,0.6,ASIA
38,57.33264411,50.03526777,0.6,ASIA
39,62.25498456,41.43219264,0.6,ASIA
40,60.70035882,48.70736739,0.6,ASIA
41,59.40186794,53.51417477,0.6,ASIA
42,60.04577959,46.98291283,0.6,ASIA
43,59.47600913,52.64098206,0.6,ASIA
44,56.49957526,50.99085742,0.6,ASIA
45,59.42869806,49.91795931,0.6,ASIA
46,58.33726698,50.51605266,0.6,ASIA
47,58.04158739,45.57335312,0.6,ASIA
48,57.68719669,49.76088624,0.6,ASIA
49,58.93288578,54.53664536,0.6,ASIA
50,55.99472853,50.27816951,0.6,ASIA
51,61.92845885,50.11702225,0.6,ASIA
52,61.0401202,47.92345617,0.6,ASIA
53,59.9599443,49.91284561,0.6,ASIA
54,59.93045783,50.65717659,0.6,ASIA
55,58.40367283,51.20600613,0.6,ASIA
56,62.03737056,48.94553764,0.6,ASIA
57,59.73356504,49.33120544,0.6,ASIA
58,58.57093967,55.7238622,0.6,ASIA
59,62.70277154,43.61241037,0.6,ASIA
60,59.55045789,56.30582464,0.6,ASIA
61,58.82194194,50.95477433,0.6,ASIA
62,59.4124928,52.82859915,0.6,ASIA
63,58.30414751,45.29303206,0.6,ASIA
64,57.7597434,48.33113023,0.6,ASIA
65,65.05199938,49.21351578,0.6,ASIA
66,63.31099519,51.19562053,0.6,ASIA
67,60.61507032,45.27595904,0.6,ASIA
68,57.48576328,51.33398332,0.6,ASIA
69,58.26906394,46.56955008,0.6,ASIA
70,59.64693177,50.18721373,0.6,ASIA
71,61.58283212,51.84514109,0.6,ASIA
72,57.33599116,50.92506528,0.6,ASIA
73,55.34026569,53.06214997,0.6,ASIA
74,57.10180541,52.84561579,0.6,ASIA
75,60.66702167,48.1589549,0.6,ASIA
76,60.78270721,50.72706461,0.6,ASIA
77,60.90335884,47.3288962,0.6,ASIA
78,59.73943069,46.26141749,0.6,ASIA
79,60.36737819,52.61580276,0.6,ASIA
80,59.04769397,50.00014099,0.6,ASIA
81,61.72404322,49.84466585,0.6,ASIA
82,57.27661106,52.57705707,0.6,ASIA
83,60.91005911,51.68173666,0.6,ASIA
84,58.30258124,50.9905185,0.6,ASIA
85,59.33022612,53.53624449,0.6,ASIA
86,61.10556669,52.62984172,0.6,ASIA
87,62.07818131,50.6781529,0.6,ASIA
88,57.76472263,48.04736393,0.6,ASIA
89,62.52131742,48.15712801,0.6,ASIA
90,61.32028628,53.37177327,0.6,ASIA
91,59.86426889,45.44105521,0.6,ASIA
92,59.6095576,49.93081119,0.6,ASIA
93,59.5647873,44.48782778,0.6,ASIA
94,59.39378476,52.88640426,0.6,ASIA
95,60.04609125,52.43730176,0.6,ASIA
96,60.10258071,50.00328687,0.6,ASIA
97,61.65212558,49.7996421,0.6,ASIA
98,63.05395337,42.96772712,0.6,ASIA
99,60.93382887,51.64380356,0.6,ASIA
100,59.58057332,43.7988576,0.6,ASIA
