MODEL,SCENARIO,REGION,VARIABLE,2025,2030,2035,2040,2045,2050
REMIND,LIMITS450,AFRICA,Primary Energy|Coal,-0.313689461,-0.662819168,-0.849620407,-0.948622787,-0.986313746,-0.992508331
REMIND,LIMITS500,AFRICA,Primary Energy|Coal,-0.406746292,-0.707065407,-0.867962344,-0.953362547,-0.984339446,-0.991430934
REMIND,LIMITSEnergyIndependence,AFRICA,Primary Energy|Coal,-0.456752855,-0.588579923,-0.778682053,-0.865945269,-0.924909651,-0.96422039
REMIND,LIMITSOilIndependence,AFRICA,Primary Energy|Coal,-0.078487991,-0.006121021,0.160825995,0.329458058,0.442410655,0.473754103
REMIND,LIMITSPledges,AFRICA,Primary Energy|Coal,0.082425515,0.182843652,0.280898876,0.381103559,0.475204123,0.527974744
WITCH,LIMITS450,AFRICA,Primary Energy|Coal,-0.833433754,-0.869386606,-0.896794943,-0.916693523,-0.93200152,-0.944700445
WITCH,LIMITS500,AFRICA,Primary Energy|Coal,-0.417159889,-0.700669602,-0.896613641,-0.916625975,-0.93200152,-0.944700445
WITCH,LIMITSEnergyIndependence,AFRICA,Primary Energy|Coal,0,-0.004154525,-0.036798324,-0.051783954,-0.052377514,-0.050906308
WITCH,LIMITSOilIndependence,AFRICA,Primary Energy|Coal,0,-0.083917246,-0.055683956,-0.040574211,-0.045679964,-0.056915394
WITCH,LIMITSPledges,AFRICA,Primary Energy|Coal,-0.01386223,-0.025761988,-0.025780787,-0.027921869,-0.026064438,-0.013602857
REMIND,LIMITS450,AFRICA,Primary Energy|Gas,-0.222809547,-0.39085217,-0.476022249,-0.56473752,-0.668295236,-0.738637177
REMIND,LIMITS500,AFRICA,Primary Energy|Gas,-0.123498318,-0.17542184,-0.199864702,-0.231329486,-0.323460129,-0.444241643
REMIND,LIMITSEnergyIndependence,AFRICA,Primary Energy|Gas,-0.074002883,-0.078955747,-0.155141311,-0.230601154,-0.30260862,-0.372807959
REMIND,LIMITSOilIndependence,AFRICA,Primary Energy|Gas,0.01329489,0.026636952,0.053743235,0.069975909,0.07075554,0.060124544
REMIND,LIMITSPledges,AFRICA,Primary Energy|Gas,-0.075444498,-0.067812798,-0.058929645,-0.063028741,-0.098935613,-0.148951399
WITCH,LIMITS450,AFRICA,Primary Energy|Gas,-0.381602348,-0.416119747,-0.481912383,-0.550557194,-0.63888311,-0.670917375
WITCH,LIMITS500,AFRICA,Primary Energy|Gas,-0.25428943,-0.264521099,-0.293201058,-0.333142784,-0.38129735,-0.447245591
WITCH,LIMITSEnergyIndependence,AFRICA,Primary Energy|Gas,0,-0.007679135,-0.031869614,-0.044097858,-0.047329205,-0.048565284
WITCH,LIMITSOilIndependence,AFRICA,Primary Energy|Gas,0,-0.051268038,-0.032855096,-0.023499533,-0.02668311,-0.033837812
WITCH,LIMITSPledges,AFRICA,Primary Energy|Gas,-0.007175653,-0.012485487,-0.012132698,-0.013859337,-0.014704837,-0.015185938
REMIND,LIMITS450,AFRICA,Primary Energy|Oil,-0.039993627,-0.048296151,-0.020557157,-0.012045366,-0.03611073,-0.086294091
REMIND,LIMITS500,AFRICA,Primary Energy|Oil,0.10484385,0.070237803,0.079634966,0.091513492,0.127381116,0.157608348
REMIND,LIMITSEnergyIndependence,AFRICA,Primary Energy|Oil,0.014659018,0.073915175,0.095965418,0.118107157,0.199122927,0.320466039
REMIND,LIMITSOilIndependence,AFRICA,Primary Energy|Oil,0.071223709,-0.005638637,-0.24543708,-0.419163082,-0.531314239,-0.613469048
REMIND,LIMITSPledges,AFRICA,Primary Energy|Oil,0.103091141,-0.010664379,-0.130643612,-0.28408291,-0.417705907,-0.514243646
WITCH,LIMITS450,AFRICA,Primary Energy|Oil,-0.165865611,-0.383868793,-0.624314592,-0.807920729,-0.952934732,-0.970599866
WITCH,LIMITS500,AFRICA,Primary Energy|Oil,-0.038814533,-0.075800367,-0.311565842,-0.491558077,-0.635505231,-0.749222747
WITCH,LIMITSEnergyIndependence,AFRICA,Primary Energy|Oil,0,0.07791967,0.074780738,0.069304784,0.068000775,0.077802098
WITCH,LIMITSOilIndependence,AFRICA,Primary Energy|Oil,0,0.272276351,0.11729757,0.068654662,0.077622311,0.103254388
WITCH,LIMITSPledges,AFRICA,Primary Energy|Oil,0.04053182,0.044023443,0.052534556,0.060634127,0.070455133,-0.023344269
REMIND,LIMITS450,AFRICA,Secondary Energy|Electricity|Biomass,1,6,23,22,12.33333333,6.3
REMIND,LIMITS500,AFRICA,Secondary Energy|Electricity|Biomass,0,2,8,8.333333333,5.25,3.35
REMIND,LIMITSEnergyIndependence,AFRICA,Secondary Energy|Electricity|Biomass,3,3,3,0.666666667,-0.083333333,-0.225
REMIND,LIMITSOilIndependence,AFRICA,Secondary Energy|Electricity|Biomass,0,0,1,0.333333333,0.166666667,0.05
REMIND,LIMITSPledges,AFRICA,Secondary Energy|Electricity|Biomass,0,0,1,0.666666667,0.083333333,0
WITCH,LIMITS450,AFRICA,Secondary Energy|Electricity|Biomass,0,0,0,0,0,0
WITCH,LIMITS500,AFRICA,Secondary Energy|Electricity|Biomass,0,0,0,0,0,0
WITCH,LIMITSEnergyIndependence,AFRICA,Secondary Energy|Electricity|Biomass,0,0,0,0,0,0
WITCH,LIMITSOilIndependence,AFRICA,Secondary Energy|Electricity|Biomass,0,0,0,0,0,0
WITCH,LIMITSPledges,AFRICA,Secondary Energy|Electricity|Biomass,0,0,0,0,0,0
REMIND,LIMITS450,AFRICA,Secondary Energy|Electricity|Coal,-0.451612903,-0.821428571,-0.950617284,-0.988603989,-0.997772829,-0.998667259
REMIND,LIMITS500,AFRICA,Secondary Energy|Electricity|Coal,-0.387096774,-0.757142857,-0.910493827,-0.962962963,-0.985894581,-0.993780542
REMIND,LIMITSEnergyIndependence,AFRICA,Secondary Energy|Electricity|Coal,-0.709677419,-0.892857143,-0.962962963,-0.987179487,-0.995545657,-0.998667259
REMIND,LIMITSOilIndependence,AFRICA,Secondary Energy|Electricity|Coal,-0.14516129,-0.171428571,-0.166666667,-0.168091168,-0.167780252,-0.163482896
REMIND,LIMITSPledges,AFRICA,Secondary Energy|Electricity|Coal,0.258064516,0.357142857,0.422839506,0.455840456,0.47809948,0.511328299
WITCH,LIMITS450,AFRICA,Secondary Energy|Electricity|Coal,-0.999807263,-0.999999999,-0.999999999,-1,-1,-1
WITCH,LIMITS500,AFRICA,Secondary Energy|Electricity|Coal,-0.519559571,-0.796135364,-0.999905059,-0.999928348,-1,-1
WITCH,LIMITSEnergyIndependence,AFRICA,Secondary Energy|Electricity|Coal,0,-0.00510835,-0.042273512,-0.057490395,-0.056800993,-0.054249901
WITCH,LIMITSOilIndependence,AFRICA,Secondary Energy|Electricity|Coal,0,-0.101727193,-0.064037374,-0.045103221,-0.049593632,-0.060695627
WITCH,LIMITSPledges,AFRICA,Secondary Energy|Electricity|Coal,-0.018227853,-0.031243097,-0.029669026,-0.031065668,-0.028334959,-0.014565322
REMIND,LIMITS450,AFRICA,Secondary Energy|Electricity|Gas,-0.252453167,-0.454920286,-0.5556602,-0.659491737,-0.776371768,-0.845272206
REMIND,LIMITS500,AFRICA,Secondary Energy|Electricity|Gas,-0.116413916,-0.221825179,-0.322471275,-0.388557145,-0.482491546,-0.595249099
REMIND,LIMITSEnergyIndependence,AFRICA,Secondary Energy|Electricity|Gas,-0.151650312,-0.202583837,-0.304012055,-0.424663241,-0.54761645,-0.64987522
REMIND,LIMITSOilIndependence,AFRICA,Secondary Energy|Electricity|Gas,0.012488849,0.017042331,0.028065549,0.038744619,0.048543689,0.05749145
REMIND,LIMITSPledges,AFRICA,Secondary Energy|Electricity|Gas,-0.047279215,-0.05057724,-0.064418911,-0.095958895,-0.143667503,-0.200665496
WITCH,LIMITS450,AFRICA,Secondary Energy|Electricity|Gas,-0.40258602,-0.436486425,-0.49742337,-0.56693872,-0.668890416,-0.693685783
WITCH,LIMITS500,AFRICA,Secondary Energy|Electricity|Gas,-0.312710838,-0.31368594,-0.319411006,-0.346407475,-0.388364851,-0.456285737
WITCH,LIMITSEnergyIndependence,AFRICA,Secondary Energy|Electricity|Gas,0,-0.024890573,-0.052624249,-0.064568392,-0.066426297,-0.068626588
WITCH,LIMITSOilIndependence,AFRICA,Secondary Energy|Electricity|Gas,0,-0.115442874,-0.064316442,-0.042767355,-0.047276751,-0.058753822
WITCH,LIMITSPledges,AFRICA,Secondary Energy|Electricity|Gas,-0.017472538,-0.026199484,-0.026780888,-0.030212442,-0.03243374,-0.036350736
REMIND,LIMITS450,AFRICA,Secondary Energy|Electricity|Geothermal,2.6,5.222222222,3.409090909,1.488888889,0.473684211,0.108910891
REMIND,LIMITS500,AFRICA,Secondary Energy|Electricity|Geothermal,1.6,3.444444444,2.545454545,1.311111111,0.473684211,0.108910891
REMIND,LIMITSEnergyIndependence,AFRICA,Secondary Energy|Electricity|Geothermal,2.6,3.222222222,2.090909091,1.177777778,0.473684211,0.108910891
REMIND,LIMITSOilIndependence,AFRICA,Secondary Energy|Electricity|Geothermal,0,0.111111111,0.090909091,0.066666667,0.039473684,0.01980198
REMIND,LIMITSPledges,AFRICA,Secondary Energy|Electricity|Geothermal,0.2,0.222222222,0.136363636,0.133333333,0.078947368,0.03960396
REMIND,LIMITS450,AFRICA,Secondary Energy|Electricity|Hydro,0.173780488,0.905444126,2.28009828,3.538461538,3.888888889,3.11754386
REMIND,LIMITS500,AFRICA,Secondary Energy|Electricity|Hydro,0.106707317,0.553008596,1.466830467,2.30206379,2.610457516,2.405263158
REMIND,LIMITSEnergyIndependence,AFRICA,Secondary Energy|Electricity|Hydro,0.478658537,0.974212034,1.653562654,2.099437148,2.134640523,1.872807018
REMIND,LIMITSOilIndependence,AFRICA,Secondary Energy|Electricity|Hydro,0.006097561,0.014326648,0.027027027,0.041275797,0.048366013,0.04122807
REMIND,LIMITSPledges,AFRICA,Secondary Energy|Electricity|Hydro,0.051829268,0.12034384,0.230958231,0.35272045,0.432679739,0.38245614
WITCH,LIMITS450,AFRICA,Secondary Energy|Electricity|Hydro,0,0,0,0,0,0
WITCH,LIMITS500,AFRICA,Secondary Energy|Electricity|Hydro,0,0,0,0,0,0
WITCH,LIMITSEnergyIndependence,AFRICA,Secondary Energy|Electricity|Hydro,0,0,0,0,0,0
WITCH,LIMITSOilIndependence,AFRICA,Secondary Energy|Electricity|Hydro,0,0,0,0,0,0
WITCH,LIMITSPledges,AFRICA,Secondary Energy|Electricity|Hydro,0,0,0,0,0,0
REMIND,LIMITS450,AFRICA,Secondary Energy|Electricity|Nuclear,0.714285714,1.391304348,1.365079365,1.116438356,0.760655738,0.371186441
REMIND,LIMITS500,AFRICA,Secondary Energy|Electricity|Nuclear,-0.428571429,-0.173913043,-0.253968254,-0.369863014,-0.498360656,-0.620338983
REMIND,LIMITSEnergyIndependence,AFRICA,Secondary Energy|Electricity|Nuclear,19.57142857,14.91304348,12.01587302,10.2739726,8.68852459,6.996610169
REMIND,LIMITSOilIndependence,AFRICA,Secondary Energy|Electricity|Nuclear,-0.714285714,-0.52173913,-0.46031746,-0.424657534,-0.403278689,-0.394915254
WITCH,LIMITS450,AFRICA,Secondary Energy|Electricity|Nuclear,0.658119658,0.731707317,0.769230769,0.884615385,0.870165746,1.32941886
WITCH,LIMITS500,AFRICA,Secondary Energy|Electricity|Nuclear,0.324786325,0.353658537,0.416289593,0.458041958,0.508287293,0.530701754
WITCH,LIMITSEnergyIndependence,AFRICA,Secondary Energy|Electricity|Nuclear,0,-0.042682927,-0.058823529,-0.066433566,-0.074585635,-0.096491228
WITCH,LIMITSOilIndependence,AFRICA,Secondary Energy|Electricity|Nuclear,0,-0.097560976,-0.063348416,-0.045454545,-0.049723757,-0.061403509
WITCH,LIMITSPledges,AFRICA,Secondary Energy|Electricity|Nuclear,-0.034188034,-0.054878049,-0.07239819,-0.097902098,-0.121546961,-0.173245614
REMIND,LIMITS450,AFRICA,Secondary Energy|Electricity|Oil,0,0,0,0,0,0
REMIND,LIMITS500,AFRICA,Secondary Energy|Electricity|Oil,0,0,0,0,0,0
REMIND,LIMITSEnergyIndependence,AFRICA,Secondary Energy|Electricity|Oil,0,0,0,0,0,0
REMIND,LIMITSOilIndependence,AFRICA,Secondary Energy|Electricity|Oil,0,0,0,0,0,0
REMIND,LIMITSPledges,AFRICA,Secondary Energy|Electricity|Oil,0,0,0,0,0,0
WITCH,LIMITS450,AFRICA,Secondary Energy|Electricity|Oil,-0.087174037,-0.254687636,-0.374603871,-0.504754041,-0.635457011,-0.657650906
WITCH,LIMITS500,AFRICA,Secondary Energy|Electricity|Oil,0.117535271,0.082403124,-0.003308311,-0.100093713,-0.207457266,-0.301995019
WITCH,LIMITSEnergyIndependence,AFRICA,Secondary Energy|Electricity|Oil,0,0.152618791,0.164039543,0.165858979,0.171234303,0.2003978
WITCH,LIMITSOilIndependence,AFRICA,Secondary Energy|Electricity|Oil,0,0.56219755,0.246736006,0.148756369,0.17371106,0.241852348
WITCH,LIMITSPledges,AFRICA,Secondary Energy|Electricity|Oil,0.081222653,0.089376324,0.107230871,0.125914141,0.149214157,0.188047235
REMIND,LIMITS450,AFRICA,Secondary Energy|Electricity|Solar|CSP,0.007,0.034,0.115,0.31,0.71,1.425
REMIND,LIMITS500,AFRICA,Secondary Energy|Electricity|Solar|CSP,0.002,0.01,0.041,0.128,0.346,0.804
REMIND,LIMITSPledges,AFRICA,Secondary Energy|Electricity|Solar|CSP,0,0,0.001,0.001,0.003,0.015
