MODEL,SCENARIO,REGION,VARIABLE,2025,2030,2035,2040,2045,2050
REMIND,LIMITS450,LATIN_AM,Primary Energy|Coal,-0.361720067,-0.676424051,-0.856352827,-0.950695198,-0.986676428,-0.992358079
REMIND,LIMITS500,LATIN_AM,Primary Energy|Coal,-0.458684654,-0.681962025,-0.790681598,-0.8429149,-0.883382138,-0.907549989
REMIND,LIMITSEnergyIndependence,LATIN_AM,Primary Energy|Coal,0.241146712,0.263844937,0.197704963,0.195345627,0.200439239,0.197598253
REMIND,LIMITSOilIndependence,LATIN_AM,Primary Energy|Coal,-0.25435638,-0.228837025,-0.215401631,-0.213391184,-0.2261347,-0.252987819
REMIND,LIMITSPledges,LATIN_AM,Primary Energy|Coal,-0.811973019,-0.775316456,-0.66542237,-0.497386845,-0.30761347,-0.148758906
WITCH,LIMITS450,LATIN_AM,Primary Energy|Coal,-0.601044999,-0.664341134,-0.710482947,-0.742758839,-0.769421664,-0.793470497
WITCH,LIMITS500,LATIN_AM,Primary Energy|Coal,-0.288481768,-0.439079343,-0.70468523,-0.738983247,-0.767664926,-0.793252124
WITCH,LIMITSEnergyIndependence,LATIN_AM,Primary Energy|Coal,0,0.004380129,-0.009592109,-0.022844792,-0.030357375,-0.040334038
WITCH,LIMITSOilIndependence,LATIN_AM,Primary Energy|Coal,0,-0.060224788,-0.05178287,-0.037092552,-0.043497847,-0.051040873
WITCH,LIMITSPledges,LATIN_AM,Primary Energy|Coal,-0.284341044,-0.354921074,-0.413725982,-0.417853283,-0.431473531,-0.567144705
REMIND,LIMITS450,LATIN_AM,Primary Energy|Gas,-0.207435683,-0.375088165,-0.486106131,-0.585851078,-0.689593378,-0.73013266
REMIND,LIMITS500,LATIN_AM,Primary Energy|Gas,-0.106881406,-0.247801759,-0.319917533,-0.324821827,-0.368647864,-0.440008423
REMIND,LIMITSEnergyIndependence,LATIN_AM,Primary Energy|Gas,-0.022484836,-0.048619928,-0.078612406,-0.060294696,-0.032982037,-0.056643504
REMIND,LIMITSOilIndependence,LATIN_AM,Primary Energy|Gas,-0.051505961,-0.082757324,-0.095240229,-0.089458266,-0.093057985,-0.096104443
REMIND,LIMITSPledges,LATIN_AM,Primary Energy|Gas,-0.441434846,-0.257394085,-0.148261025,-0.137160596,-0.168152921,-0.255337966
WITCH,LIMITS450,LATIN_AM,Primary Energy|Gas,-0.499654462,-0.592805043,-0.653905617,-0.707945748,-0.754881776,-0.797154301
WITCH,LIMITS500,LATIN_AM,Primary Energy|Gas,-0.30180883,-0.361131387,-0.42393426,-0.47701559,-0.529707489,-0.585110864
WITCH,LIMITSEnergyIndependence,LATIN_AM,Primary Energy|Gas,0,0.002917541,-0.011925527,-0.025727784,-0.034682588,-0.043907876
WITCH,LIMITSOilIndependence,LATIN_AM,Primary Energy|Gas,0,-0.022728867,-0.021996145,-0.016476837,-0.020351745,-0.024568067
WITCH,LIMITSPledges,LATIN_AM,Primary Energy|Gas,-0.1602544,-0.175536456,-0.225739595,-0.248854627,-0.23780528,-0.233687401
