MODEL,SCENARIO,REGION,VARIABLE,2025,2030,2035,2040,2045,2050
REMIND,LIMITS450,NORTH_AM,Primary Energy|Coal,-0.350683698,-0.618319022,-0.800808233,-0.914514867,-0.964843114,-0.971619025
REMIND,LIMITS500,NORTH_AM,Primary Energy|Coal,-0.345506724,-0.605100182,-0.780038532,-0.88986698,-0.941285719,-0.950893637
REMIND,LIMITSEnergyIndependence,NORTH_AM,Primary Energy|Coal,0.302515334,0.648555816,1.156289648,1.460485133,1.646117754,1.85492228
REMIND,LIMITSOilIndependence,NORTH_AM,Primary Energy|Coal,-0.031455743,-0.140879521,-0.196748273,-0.26541471,-0.338991887,-0.40030273
REMIND,LIMITSPledges,NORTH_AM,Primary Energy|Coal,-0.521242474,-0.700182149,-0.789812509,-0.80743349,-0.765370956,-0.717733015
WITCH,LIMITS450,NORTH_AM,Primary Energy|Coal,-0.674720101,-0.817852645,-0.822489517,-0.825453783,-0.828502591,-0.832632914
WITCH,LIMITS500,NORTH_AM,Primary Energy|Coal,-0.332693756,-0.479269926,-0.637587522,-0.738275265,-0.81751374,-0.824736638
WITCH,LIMITSEnergyIndependence,NORTH_AM,Primary Energy|Coal,0,-0.232725959,-0.251203958,-0.25910963,-0.262616163,-0.265912411
WITCH,LIMITSOilIndependence,NORTH_AM,Primary Energy|Coal,0,-0.001168795,-0.001902375,-0.000793236,-0.000229081,0.0000192
WITCH,LIMITSPledges,NORTH_AM,Primary Energy|Coal,-0.407073045,-0.461091702,-0.523921392,-0.559389926,-0.56985219,-0.566855897
REMIND,LIMITS450,NORTH_AM,Primary Energy|Gas,-0.109874656,-0.255180563,-0.341354427,-0.438639958,-0.5616029,-0.668036882
REMIND,LIMITS500,NORTH_AM,Primary Energy|Gas,-0.071568328,-0.12784967,-0.202775465,-0.257696363,-0.333096556,-0.430686773
REMIND,LIMITSEnergyIndependence,NORTH_AM,Primary Energy|Gas,-0.089299908,-0.121826094,-0.134193727,-0.126647338,-0.157228237,-0.222429142
REMIND,LIMITSOilIndependence,NORTH_AM,Primary Energy|Gas,0.07288291,0.095282013,0.099611435,0.08444913,0.05827169,0.040311592
REMIND,LIMITSPledges,NORTH_AM,Primary Energy|Gas,-0.113176399,-0.093379831,-0.096502914,-0.138139167,-0.179542448,-0.193949855
WITCH,LIMITS450,NORTH_AM,Primary Energy|Gas,-0.40954906,-0.4607053,-0.520214674,-0.579865496,-0.637682617,-0.690006478
WITCH,LIMITS500,NORTH_AM,Primary Energy|Gas,-0.214765518,-0.306125101,-0.353657583,-0.399048082,-0.449168815,-0.502161756
WITCH,LIMITSEnergyIndependence,NORTH_AM,Primary Energy|Gas,0,-0.13897783,-0.148959205,-0.156639682,-0.161084612,-0.168383774
WITCH,LIMITSOilIndependence,NORTH_AM,Primary Energy|Gas,0,-0.002873969,0.000468504,0.000728877,0.002575657,0.004729364
WITCH,LIMITSPledges,NORTH_AM,Primary Energy|Gas,-0.132608576,-0.16387977,-0.193144634,-0.219057159,-0.247195825,-0.294323545
REMIND,LIMITS450,NORTH_AM,Primary Energy|Oil,-0.00214834,-0.028947228,-0.097894185,-0.191479455,-0.298565311,-0.431462591
REMIND,LIMITS500,NORTH_AM,Primary Energy|Oil,0.071288218,0.048903474,0.035299313,-0.004277733,-0.079486138,-0.213796044
REMIND,LIMITSEnergyIndependence,NORTH_AM,Primary Energy|Oil,-0.026435065,-0.097059922,-0.208401181,-0.320713537,-0.435532773,-0.570964673
REMIND,LIMITSOilIndependence,NORTH_AM,Primary Energy|Oil,-0.070240247,-0.07440905,-0.044848619,0.006867652,0.083580783,0.162823499
REMIND,LIMITSPledges,NORTH_AM,Primary Energy|Oil,0.080877152,0.052505202,0.056578257,0.084507042,0.116494233,0.095188113
WITCH,LIMITS450,NORTH_AM,Primary Energy|Oil,-0.235688524,-0.354728317,-0.450718163,-0.546491303,-0.631461338,-0.708312364
WITCH,LIMITS500,NORTH_AM,Primary Energy|Oil,-0.098748287,-0.168424759,-0.249561101,-0.330794909,-0.411943728,-0.484009581
WITCH,LIMITSEnergyIndependence,NORTH_AM,Primary Energy|Oil,0,-0.01395182,-0.008836291,-0.009050613,-0.007039948,0.004746027
WITCH,LIMITSOilIndependence,NORTH_AM,Primary Energy|Oil,0,-0.045224802,0.02201998,0.014724881,0.016346465,0.027953829
WITCH,LIMITSPledges,NORTH_AM,Primary Energy|Oil,-0.048714131,-0.096014157,-0.140301397,-0.173423244,-0.210769066,-0.254047479
REMIND,LIMITS450,NORTH_AM,Secondary Energy|Electricity|Biomass,0.058510638,0.412371134,1.299065421,2.713080169,4.37890625,6.168498168
REMIND,LIMITS500,NORTH_AM,Secondary Energy|Electricity|Biomass,0.015957447,0.118556701,0.443925234,1.164556962,2.23046875,3.41025641
REMIND,LIMITSEnergyIndependence,NORTH_AM,Secondary Energy|Electricity|Biomass,0,0.005154639,0.014018692,0.037974684,0.046875,0.010989011
REMIND,LIMITSOilIndependence,NORTH_AM,Secondary Energy|Electricity|Biomass,0,0.005154639,0,0.004219409,0.0078125,0.014652015
REMIND,LIMITSPledges,NORTH_AM,Secondary Energy|Electricity|Biomass,0.388297872,0.350515464,0.303738318,0.388185654,0.6875,1.172161172
WITCH,LIMITS450,NORTH_AM,Secondary Energy|Electricity|Biomass,1.67951241,21.06753228,39.2290091,73.31105217,149.7663854,275.0698605
WITCH,LIMITS500,NORTH_AM,Secondary Energy|Electricity|Biomass,0.000121238,0.000174571,5.078513676,32.59913063,103.7427577,176.6701212
WITCH,LIMITSEnergyIndependence,NORTH_AM,Secondary Energy|Electricity|Biomass,0,0.000174571,0.000259067,0.000392935,0.000605022,0
WITCH,LIMITSOilIndependence,NORTH_AM,Secondary Energy|Electricity|Biomass,0,0,0,0,0,0
WITCH,LIMITSPledges,NORTH_AM,Secondary Energy|Electricity|Biomass,2.071370353,3.467303166,6.225216336,6.223922215,17.87094807,32.08946761
REMIND,LIMITS450,NORTH_AM,Secondary Energy|Electricity|Coal,-0.326291467,-0.567955221,-0.738643435,-0.887871287,-0.989988221,-0.990750257
REMIND,LIMITS500,NORTH_AM,Secondary Energy|Electricity|Coal,-0.322990593,-0.561133462,-0.726612736,-0.873019802,-0.973203769,-0.972250771
REMIND,LIMITSEnergyIndependence,NORTH_AM,Secondary Energy|Electricity|Coal,0.225449744,0.470351583,0.969093549,1.477722772,2.122202591,2.885919836
REMIND,LIMITSOilIndependence,NORTH_AM,Secondary Energy|Electricity|Coal,-0.067172801,-0.220920063,-0.332711056,-0.438613861,-0.520906949,-0.565604659
REMIND,LIMITSPledges,NORTH_AM,Secondary Energy|Electricity|Coal,-0.531275788,-0.734825958,-0.875751919,-0.969306931,-0.971142521,-0.976704351
WITCH,LIMITS450,NORTH_AM,Secondary Energy|Electricity|Coal,-0.821852007,-0.999997807,-0.999997971,-0.999998087,-1,-1
WITCH,LIMITS500,NORTH_AM,Secondary Energy|Electricity|Coal,-0.417894491,-0.598028508,-0.782541929,-0.894958096,-0.988291066,-0.991600384
WITCH,LIMITSEnergyIndependence,NORTH_AM,Secondary Energy|Electricity|Coal,0,-0.290253252,-0.310613456,-0.318067543,-0.320167427,-0.321730851
WITCH,LIMITSOilIndependence,NORTH_AM,Secondary Energy|Electricity|Coal,0,-0.001508855,-0.002422489,-0.000996426,-0.000281588,0.0000274
WITCH,LIMITSPledges,NORTH_AM,Secondary Energy|Electricity|Coal,-0.520553049,-0.581205637,-0.653289153,-0.700064099,-0.715645403,-0.713254833
REMIND,LIMITS450,NORTH_AM,Secondary Energy|Electricity|Gas,0.006935357,-0.259223919,-0.387261146,-0.506377858,-0.642852029,-0.7325127
REMIND,LIMITS500,NORTH_AM,Secondary Energy|Electricity|Gas,0.02303062,-0.052056828,-0.172247498,-0.235459286,-0.327582504,-0.45011072
REMIND,LIMITSEnergyIndependence,NORTH_AM,Secondary Energy|Electricity|Gas,-0.175739335,-0.255513147,-0.318744313,-0.364139591,-0.407545279,-0.452911293
REMIND,LIMITSOilIndependence,NORTH_AM,Secondary Energy|Electricity|Gas,0.087411672,0.124257846,0.139035487,0.131087044,0.113608705,0.097368764
REMIND,LIMITSPledges,NORTH_AM,Secondary Energy|Electricity|Gas,-0.132295211,-0.063401187,-0.065150136,-0.123947052,-0.171379483,-0.188289696
WITCH,LIMITS450,NORTH_AM,Secondary Energy|Electricity|Gas,-0.433614528,-0.447929725,-0.505178999,-0.568309741,-0.640059887,-0.702282337
WITCH,LIMITS500,NORTH_AM,Secondary Energy|Electricity|Gas,-0.271952636,-0.435038883,-0.400808188,-0.41063264,-0.441819065,-0.489294471
WITCH,LIMITSEnergyIndependence,NORTH_AM,Secondary Energy|Electricity|Gas,0,-0.167721184,-0.176303542,-0.18505373,-0.189612296,-0.192098763
WITCH,LIMITSOilIndependence,NORTH_AM,Secondary Energy|Electricity|Gas,0,0.000681402,-0.000372838,0.000192269,0.000196962,0.000415825
WITCH,LIMITSPledges,NORTH_AM,Secondary Energy|Electricity|Gas,-0.196441297,-0.217308035,-0.230838974,-0.23070072,-0.269234625,-0.331548728
REMIND,LIMITS450,NORTH_AM,Secondary Energy|Electricity|Geothermal,0.019417476,0.009009009,0,0.018518519,0,0
REMIND,LIMITS500,NORTH_AM,Secondary Energy|Electricity|Geothermal,0.009708738,0.009009009,0,0.009259259,0,0
REMIND,LIMITSEnergyIndependence,NORTH_AM,Secondary Energy|Electricity|Geothermal,-0.077669903,-0.189189189,-0.3125,-0.388888889,-0.294642857,-0.142857143
REMIND,LIMITSOilIndependence,NORTH_AM,Secondary Energy|Electricity|Geothermal,0.019417476,0.009009009,0,-0.009259259,0,0
REMIND,LIMITSPledges,NORTH_AM,Secondary Energy|Electricity|Geothermal,0.087378641,-0.009009009,0,0.009259259,0,0
REMIND,LIMITS450,NORTH_AM,Secondary Energy|Electricity|Hydro,0.102893891,0.306681271,0.51577802,0.606694561,0.559803922,0.446866485
REMIND,LIMITS500,NORTH_AM,Secondary Energy|Electricity|Hydro,0.060021436,0.223439211,0.420021763,0.529288703,0.525490196,0.444141689
REMIND,LIMITSEnergyIndependence,NORTH_AM,Secondary Energy|Electricity|Hydro,-0.07073955,-0.128148959,-0.204570185,-0.289748954,-0.36372549,-0.405086285
REMIND,LIMITSOilIndependence,NORTH_AM,Secondary Energy|Electricity|Hydro,0.022508039,0.033953998,0.043525571,0.04707113,0.044117647,0.034514078
REMIND,LIMITSPledges,NORTH_AM,Secondary Energy|Electricity|Hydro,0.429796356,0.535596933,0.585418934,0.574267782,0.515686275,0.42688465
WITCH,LIMITS450,NORTH_AM,Secondary Energy|Electricity|Hydro,0,0,0,0,0,0
WITCH,LIMITS500,NORTH_AM,Secondary Energy|Electricity|Hydro,0,0,0,0,0,0
WITCH,LIMITSEnergyIndependence,NORTH_AM,Secondary Energy|Electricity|Hydro,0,0,0,0,0,0
WITCH,LIMITSOilIndependence,NORTH_AM,Secondary Energy|Electricity|Hydro,0,0,0,0,0,0
WITCH,LIMITSPledges,NORTH_AM,Secondary Energy|Electricity|Hydro,0,0,0,0,0,0
REMIND,LIMITS450,NORTH_AM,Secondary Energy|Electricity|Nuclear,0.076747373,0.319497542,0.694948187,1.073715562,1.432769368,1.803114572
REMIND,LIMITS500,NORTH_AM,Secondary Energy|Electricity|Nuclear,0.03426222,0.155652649,0.336139896,0.514519732,0.686553874,0.870967742
REMIND,LIMITSEnergyIndependence,NORTH_AM,Secondary Energy|Electricity|Nuclear,-0.025582458,-0.07646095,-0.132772021,-0.177959792,-0.219946572,-0.26807564
REMIND,LIMITSOilIndependence,NORTH_AM,Secondary Energy|Electricity|Nuclear,0.001827318,0.002730748,0.00388601,0.002978407,0.001780944,0.001112347
REMIND,LIMITSPledges,NORTH_AM,Secondary Energy|Electricity|Nuclear,0.029237095,0.130529765,0.292098446,0.480268057,0.695458593,0.936596218
WITCH,LIMITS450,NORTH_AM,Secondary Energy|Electricity|Nuclear,0.824005656,0.869771979,0.799211191,0.729209191,0.649311682,0.595341004
WITCH,LIMITS500,NORTH_AM,Secondary Energy|Electricity|Nuclear,0.331583746,0.526465285,0.665217397,0.709162026,0.712735271,0.68581649
WITCH,LIMITSEnergyIndependence,NORTH_AM,Secondary Energy|Electricity|Nuclear,0,0.205712757,0.205820817,0.198528165,0.189203921,0.178719015
WITCH,LIMITSOilIndependence,NORTH_AM,Secondary Energy|Electricity|Nuclear,0,-0.002606424,-0.003086178,-0.001191418,0.0000936,0.000496151
WITCH,LIMITSPledges,NORTH_AM,Secondary Energy|Electricity|Nuclear,0.146445636,0.219187012,0.304940301,0.357257053,0.390072855,0.488058523
REMIND,LIMITS450,NORTH_AM,Secondary Energy|Electricity|Oil,0,0,0,0,0,0
REMIND,LIMITS500,NORTH_AM,Secondary Energy|Electricity|Oil,0,0,0,0,0,0
REMIND,LIMITSEnergyIndependence,NORTH_AM,Secondary Energy|Electricity|Oil,0,0,0,0,0,0
REMIND,LIMITSOilIndependence,NORTH_AM,Secondary Energy|Electricity|Oil,0,0,0,0,0,0
REMIND,LIMITSPledges,NORTH_AM,Secondary Energy|Electricity|Oil,0,0,0,0,0,0
WITCH,LIMITS450,NORTH_AM,Secondary Energy|Electricity|Oil,-0.034033172,-0.259885647,-0.442972023,-0.604133422,-0.721574089,-0.792686031
WITCH,LIMITS500,NORTH_AM,Secondary Energy|Electricity|Oil,0.110955355,0.182463021,0.133843394,-0.001045156,-0.155240738,-0.279432444
WITCH,LIMITSEnergyIndependence,NORTH_AM,Secondary Energy|Electricity|Oil,0,0.18208451,0.227974535,0.24150458,0.259976874,0.32293382
WITCH,LIMITSOilIndependence,NORTH_AM,Secondary Energy|Electricity|Oil,0,-0.129931532,0.073834779,0.048531347,0.148012123,0.296134816
WITCH,LIMITSPledges,NORTH_AM,Secondary Energy|Electricity|Oil,0.083427322,0.097595345,0.129813532,0.18374988,0.194481698,0.169511136
REMIND,LIMITS450,NORTH_AM,Secondary Energy|Electricity|Solar|CSP,0,0,0,0,0,0
REMIND,LIMITS500,NORTH_AM,Secondary Energy|Electricity|Solar|CSP,0,0,0.615384615,6.125,52.66666667,203.5
REMIND,LIMITSEnergyIndependence,NORTH_AM,Secondary Energy|Electricity|Solar|CSP,0,0,0,0,0,0
REMIND,LIMITSOilIndependence,NORTH_AM,Secondary Energy|Electricity|Solar|CSP,0,0,0,0,0,0
REMIND,LIMITSPledges,NORTH_AM,Secondary Energy|Electricity|Solar|CSP,0,0,-0.076923077,0,-0.333333333,0
WITCH,LIMITS450,NORTH_AM,Secondary Energy|Electricity|Solar|CSP,1.045245622,1.439389865,1.628939404,1.795684151,1.894323441,2.008716205
WITCH,LIMITS500,NORTH_AM,Secondary Energy|Electricity|Solar|CSP,0.471842125,0.784715036,1.129562087,1.391546663,1.614392534,1.790182936
WITCH,LIMITSEnergyIndependence,NORTH_AM,Secondary Energy|Electricity|Solar|CSP,0,0.189718255,0.284842754,0.351133124,0.402375175,0.448869325
WITCH,LIMITSOilIndependence,NORTH_AM,Secondary Energy|Electricity|Solar|CSP,0,-0.002766916,-0.003120934,-0.000824798,0.00061191,0.001000846
WITCH,LIMITSPledges,NORTH_AM,Secondary Energy|Electricity|Solar|CSP,1.229330931,1.440727555,1.52807586,1.58361249,1.501103671,1.426589828
REMIND,LIMITS450,NORTH_AM,Secondary Energy|Electricity|Solar|PV,3.041666667,17.77272727,60.47368421,182,421.1111111,114.9333333
REMIND,LIMITS500,NORTH_AM,Secondary Energy|Electricity|Solar|PV,1.875,10.45454545,35.47368421,113.8461538,291.5555556,87.57777778
REMIND,LIMITSEnergyIndependence,NORTH_AM,Secondary Energy|Electricity|Solar|PV,0,0,0,0,0.555555556,0.333333333
REMIND,LIMITSOilIndependence,NORTH_AM,Secondary Energy|Electricity|Solar|PV,0,0,0,0,0.333333333,0.244444444
REMIND,LIMITSPledges,NORTH_AM,Secondary Energy|Electricity|Solar|PV,8.875,12.18181818,18.52631579,38.84615385,85.33333333,25.82222222
WITCH,LIMITS450,NORTH_AM,Secondary Energy|Electricity|Solar|PV,1.075723788,1.325070026,1.518471618,1.745997076,1.952044074,2.201326905
WITCH,LIMITS500,NORTH_AM,Secondary Energy|Electricity|Solar|PV,0.486578498,0.72173659,1.053893337,1.329246753,1.588323201,1.853878
WITCH,LIMITSEnergyIndependence,NORTH_AM,Secondary Energy|Electricity|Solar|PV,0,0.200989118,0.270358112,0.326559356,0.383451896,0.442318322
WITCH,LIMITSOilIndependence,NORTH_AM,Secondary Energy|Electricity|Solar|PV,0,-0.002892348,-0.003156253,-0.000687178,0.00082469,0.001192402
WITCH,LIMITSPledges,NORTH_AM,Secondary Energy|Electricity|Solar|PV,2.162199313,2.290227301,2.503099277,2.572377348,2.323960625,2.298235951
REMIND,LIMITS450,NORTH_AM,Secondary Energy|Electricity|Wind,0.332161687,0.927346939,1.819790829,2.99831508,3.690272374,3.843097643
REMIND,LIMITS500,NORTH_AM,Secondary Energy|Electricity|Wind,0.212653779,0.594285714,1.181818182,2.037910699,2.626459144,2.865993266
REMIND,LIMITSEnergyIndependence,NORTH_AM,Secondary Energy|Electricity|Wind,0.002636204,-0.007346939,-0.012872084,-0.035383319,-0.089494163,-0.167003367
REMIND,LIMITSOilIndependence,NORTH_AM,Secondary Energy|Electricity|Wind,0.038664323,0.044081633,0.048270314,0.048862679,0.045136187,0.043771044
REMIND,LIMITSPledges,NORTH_AM,Secondary Energy|Electricity|Wind,1.75483304,1.874285714,1.996781979,2.179443976,1.929182879,1.635016835
WITCH,LIMITS450,NORTH_AM,Secondary Energy|Electricity|Wind,0.401129123,0.651045156,0.836799025,1.057661212,1.139717757,1.141726463
